nr,name_de,name_en,typ1,typ2,region,generation,entwicklungsstufe,entwickelt_aus_de,entwickelt_aus_en,hp,angriff,verteidigung,spezial_angriff,spezial_verteidigung,initiative,sprite_url,sprite_bulbapedia
109,Smogon,Koffing,Gift,,Kanto,I,0,,,40,65,95,60,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,https://archives.bulbagarden.net/media/upload/1/16/0109Koffing.png
110,Smogmog,Weezing,Gift,,Kanto,I,1,,koffing,65,90,120,85,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,https://archives.bulbagarden.net/media/upload/7/72/0110Weezing.png
111,Rihorn,Rhyhorn,Boden,Gestein,Kanto,I,0,,,80,85,95,30,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png,https://archives.bulbagarden.net/media/upload/7/7f/0111Rhyhorn.png
112,Rizeros,Rhydon,Boden,Gestein,Kanto,I,1,,rhyhorn,105,130,120,45,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,https://archives.bulbagarden.net/media/upload/7/79/0112Rhydon.png
113,Chaneira,Chansey,Normal,,Kanto,I,1,,happiny,250,5,5,35,105,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,https://archives.bulbagarden.net/media/upload/c/c0/0113Chansey.png
114,Tangela,Tangela,Pflanze,,Kanto,I,0,,,65,55,115,100,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,https://archives.bulbagarden.net/media/upload/2/22/0114Tangela.png
115,Kangama,Kangaskhan,Normal,,Kanto,I,0,,,105,95,80,40,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,https://archives.bulbagarden.net/media/upload/e/e5/0115Kangaskhan.png
116,Seeper,Horsea,Wasser,,Kanto,I,0,,,30,40,70,70,25,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,https://archives.bulbagarden.net/media/upload/1/14/0116Horsea.png
117,Seemon,Seadra,Wasser,,Kanto,I,1,,horsea,55,65,95,95,45,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,https://archives.bulbagarden.net/media/upload/2/22/0117Seadra.png
118,Goldini,Goldeen,Wasser,,Kanto,I,0,,,45,67,60,35,50,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,https://archives.bulbagarden.net/media/upload/b/b6/0118Goldeen.png
119,Golking,Seaking,Wasser,,Kanto,I,1,,goldeen,80,92,65,65,80,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png,https://archives.bulbagarden.net/media/upload/7/76/0119Seaking.png
120,Sterndu,Staryu,Wasser,,Kanto,I,0,,,30,45,55,70,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png,https://archives.bulbagarden.net/media/upload/3/38/0120Staryu.png
121,Starmie,Starmie,Wasser,Psycho,Kanto,I,1,,staryu,60,75,85,100,85,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png,https://archives.bulbagarden.net/media/upload/a/aa/0121Starmie.png
122,Pantimos,Mr. Mime,Psycho,Fee,Kanto,I,1,,mime-jr,40,45,65,100,120,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png,
123,Sichlor,Scyther,Käfer,Flug,Kanto,I,0,,,70,110,80,55,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png,https://archives.bulbagarden.net/media/upload/8/81/0123Scyther.png
124,Rossana,Jynx,Eis,Psycho,Kanto,I,1,,smoochum,65,50,35,115,95,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png,https://archives.bulbagarden.net/media/upload/0/07/0124Jynx.png
125,Elektek,Electabuzz,Elektro,,Kanto,I,1,,elekid,65,83,57,95,85,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png,https://archives.bulbagarden.net/media/upload/5/5c/0125Electabuzz.png
126,Magmar,Magmar,Feuer,,Kanto,I,1,,magby,65,95,57,100,85,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png,https://archives.bulbagarden.net/media/upload/7/72/0126Magmar.png
127,Pinsir,Pinsir,Käfer,,Kanto,I,0,,,65,125,100,55,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png,https://archives.bulbagarden.net/media/upload/a/a9/0127Pinsir.png
128,Tauros,Tauros,Normal,,Kanto,I,0,,,75,100,95,40,70,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png,https://archives.bulbagarden.net/media/upload/a/ad/0128Tauros.png
129,Karpador,Magikarp,Wasser,,Kanto,I,0,,,20,10,55,15,20,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png,https://archives.bulbagarden.net/media/upload/d/d1/0129Magikarp.png
130,Garados,Gyarados,Wasser,Flug,Kanto,I,1,,magikarp,95,125,79,60,100,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png,https://archives.bulbagarden.net/media/upload/b/bc/0130Gyarados.png
131,Lapras,Lapras,Wasser,Eis,Kanto,I,0,,,130,85,80,85,95,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png,https://archives.bulbagarden.net/media/upload/9/99/0131Lapras.png
132,Ditto,Ditto,Normal,,Kanto,I,0,,,48,48,48,48,48,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png,https://archives.bulbagarden.net/media/upload/2/25/0132Ditto.png
133,Evoli,Eevee,Normal,,Kanto,I,0,,,55,55,50,45,65,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png,https://archives.bulbagarden.net/media/upload/4/4c/0133Eevee.png
134,Aquana,Vaporeon,Wasser,,Kanto,I,1,,eevee,130,65,60,110,95,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png,https://archives.bulbagarden.net/media/upload/6/6d/0134Vaporeon.png
135,Blitza,Jolteon,Elektro,,Kanto,I,1,,eevee,65,65,60,110,95,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png,https://archives.bulbagarden.net/media/upload/e/e3/0135Jolteon.png
136,Flamara,Flareon,Feuer,,Kanto,I,1,,eevee,65,130,60,95,110,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png,https://archives.bulbagarden.net/media/upload/f/f1/0136Flareon.png
137,Porygon,Porygon,Normal,,Kanto,I,0,,,65,60,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png,https://archives.bulbagarden.net/media/upload/8/8e/0137Porygon.png
138,Amonitas,Omanyte,Gestein,Wasser,Kanto,I,0,,,35,40,100,90,55,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png,https://archives.bulbagarden.net/media/upload/e/e6/0138Omanyte.png
139,Amoroso,Omastar,Gestein,Wasser,Kanto,I,1,,omanyte,70,60,125,115,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png,https://archives.bulbagarden.net/media/upload/6/66/0139Omastar.png
140,Kabuto,Kabuto,Gestein,Wasser,Kanto,I,0,,,30,80,90,55,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png,https://archives.bulbagarden.net/media/upload/d/d2/0140Kabuto.png
141,Kabutops,Kabutops,Gestein,Wasser,Kanto,I,1,,kabuto,60,115,105,65,70,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png,https://archives.bulbagarden.net/media/upload/4/41/0141Kabutops.png
142,Aerodactyl,Aerodactyl,Gestein,Flug,Kanto,I,0,,,80,105,65,60,75,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png,https://archives.bulbagarden.net/media/upload/2/2c/0142Aerodactyl.png
143,Relaxo,Snorlax,Normal,,Kanto,I,1,,munchlax,160,110,65,65,110,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png,https://archives.bulbagarden.net/media/upload/3/3f/0143Snorlax.png
144,Arktos,Articuno,Eis,Flug,Kanto,I,0,,,90,85,100,95,125,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png,https://archives.bulbagarden.net/media/upload/d/d0/0144Articuno.png
145,Zapdos,Zapdos,Elektro,Flug,Kanto,I,0,,,90,90,85,125,90,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png,https://archives.bulbagarden.net/media/upload/c/c6/0145Zapdos.png
146,Lavados,Moltres,Feuer,Flug,Kanto,I,0,,,90,100,90,125,85,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png,https://archives.bulbagarden.net/media/upload/2/21/0146Moltres.png
147,Dratini,Dratini,Drache,,Kanto,I,0,,,41,64,45,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png,https://archives.bulbagarden.net/media/upload/a/ae/0147Dratini.png
148,Dragonir,Dragonair,Drache,,Kanto,I,1,,dratini,61,84,65,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png,https://archives.bulbagarden.net/media/upload/0/0d/0148Dragonair.png
149,Dragoran,Dragonite,Drache,Flug,Kanto,I,2,,dragonair,91,134,95,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png,https://archives.bulbagarden.net/media/upload/1/1c/0149Dragonite.png
150,Mewtu,Mewtwo,Psycho,,Kanto,I,0,,,106,110,90,154,90,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/150.png,https://archives.bulbagarden.net/media/upload/8/89/0150Mewtwo.png
151,Mew,Mew,Psycho,,Kanto,I,0,,,100,100,100,100,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/151.png,https://archives.bulbagarden.net/media/upload/9/9a/0151Mew.png
152,Endivie,Chikorita,Pflanze,,Johto,II,0,,,45,49,65,49,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/152.png,https://archives.bulbagarden.net/media/upload/b/bc/0152Chikorita.png
153,Lorblatt,Bayleef,Pflanze,,Johto,II,1,,chikorita,60,62,80,63,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/153.png,https://archives.bulbagarden.net/media/upload/8/85/0153Bayleef.png
154,Meganie,Meganium,Pflanze,,Johto,II,2,,bayleef,80,82,100,83,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/154.png,https://archives.bulbagarden.net/media/upload/8/8b/0154Meganium.png
155,Feurigel,Cyndaquil,Feuer,,Johto,II,0,,,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/155.png,https://archives.bulbagarden.net/media/upload/9/97/0155Cyndaquil.png
156,Igelavar,Quilava,Feuer,,Johto,II,1,,cyndaquil,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/156.png,https://archives.bulbagarden.net/media/upload/3/3f/0156Quilava.png
157,Tornupto,Typhlosion,Feuer,,Johto,II,2,,quilava,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png,https://archives.bulbagarden.net/media/upload/1/13/0157Typhlosion.png
158,Karnimani,Totodile,Wasser,,Johto,II,0,,,50,65,64,44,48,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/158.png,https://archives.bulbagarden.net/media/upload/f/f7/0158Totodile.png
159,Tyracroc,Croconaw,Wasser,,Johto,II,1,,totodile,65,80,80,59,63,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/159.png,https://archives.bulbagarden.net/media/upload/0/03/0159Croconaw.png
160,Impergator,Feraligatr,Wasser,,Johto,II,2,,croconaw,85,105,100,79,83,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/160.png,https://archives.bulbagarden.net/media/upload/2/29/0160Feraligatr.png
161,Wiesor,Sentret,Normal,,Johto,II,0,,,35,46,34,35,45,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/161.png,https://archives.bulbagarden.net/media/upload/3/34/0161Sentret.png
162,Wiesenior,Furret,Normal,,Johto,II,1,,sentret,85,76,64,45,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/162.png,https://archives.bulbagarden.net/media/upload/a/a8/0162Furret.png
163,Hoothoot,Hoothoot,Normal,Flug,Johto,II,0,,,60,30,30,36,56,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/163.png,https://archives.bulbagarden.net/media/upload/3/38/0163Hoothoot.png
164,Noctuh,Noctowl,Normal,Flug,Johto,II,1,,hoothoot,100,50,50,86,96,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png,https://archives.bulbagarden.net/media/upload/1/14/0164Noctowl.png
165,Ledyba,Ledyba,Käfer,Flug,Johto,II,0,,,40,20,30,40,80,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/165.png,https://archives.bulbagarden.net/media/upload/9/91/0165Ledyba.png
166,Ledian,Ledian,Käfer,Flug,Johto,II,1,,ledyba,55,35,50,55,110,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/166.png,https://archives.bulbagarden.net/media/upload/4/4f/0166Ledian.png
167,Webarak,Spinarak,Käfer,Gift,Johto,II,0,,,40,60,40,40,40,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png,https://archives.bulbagarden.net/media/upload/2/2b/0167Spinarak.png
168,Ariados,Ariados,Käfer,Gift,Johto,II,1,,spinarak,70,90,70,60,70,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png,https://archives.bulbagarden.net/media/upload/5/5c/0168Ariados.png
169,Iksbat,Crobat,Gift,Flug,Johto,II,2,,golbat,85,90,80,70,80,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png,https://archives.bulbagarden.net/media/upload/3/35/0169Crobat.png
170,Lampi,Chinchou,Wasser,Elektro,Johto,II,0,,,75,38,38,56,56,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png,https://archives.bulbagarden.net/media/upload/c/ca/0170Chinchou.png
171,Lanturn,Lanturn,Wasser,Elektro,Johto,II,1,,chinchou,125,58,58,76,76,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png,https://archives.bulbagarden.net/media/upload/0/09/0171Lanturn.png
172,Pichu,Pichu,Elektro,,Johto,II,0,,,20,40,15,35,35,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png,https://archives.bulbagarden.net/media/upload/f/f3/0172Pichu.png
173,Pii,Cleffa,Fee,,Johto,II,0,,,50,25,28,45,55,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png,https://archives.bulbagarden.net/media/upload/7/73/0173Cleffa.png
174,Fluffeluff,Igglybuff,Normal,Fee,Johto,II,0,,,90,30,15,40,20,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png,https://archives.bulbagarden.net/media/upload/0/06/0174Igglybuff.png
175,Togepi,Togepi,Fee,,Johto,II,0,,,35,20,65,40,65,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png,https://archives.bulbagarden.net/media/upload/0/01/0175Togepi.png
176,Togetic,Togetic,Fee,Flug,Johto,II,1,,togepi,55,40,85,80,105,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png,https://archives.bulbagarden.net/media/upload/3/3b/0176Togetic.png
177,Natu,Natu,Psycho,Flug,Johto,II,0,,,40,50,45,70,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png,https://archives.bulbagarden.net/media/upload/7/71/0177Natu.png
178,Xatu,Xatu,Psycho,Flug,Johto,II,1,,natu,65,75,70,95,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png,https://archives.bulbagarden.net/media/upload/c/c3/0178Xatu.png
179,Voltilamm,Mareep,Elektro,,Johto,II,0,,,55,40,40,65,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png,https://archives.bulbagarden.net/media/upload/1/16/0179Mareep.png
180,Waaty,Flaaffy,Elektro,,Johto,II,1,,mareep,70,55,55,80,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png,https://archives.bulbagarden.net/media/upload/1/19/0180Flaaffy.png
181,Ampharos,Ampharos,Elektro,,Johto,II,2,,flaaffy,90,75,85,115,90,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png,https://archives.bulbagarden.net/media/upload/c/c2/0181Ampharos.png
182,Blubella,Bellossom,Pflanze,,Johto,II,2,,gloom,75,80,95,90,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/182.png,https://archives.bulbagarden.net/media/upload/5/51/0182Bellossom.png
183,Marill,Marill,Wasser,Fee,Johto,II,1,,azurill,70,20,50,20,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/183.png,https://archives.bulbagarden.net/media/upload/8/8e/0183Marill.png
184,Azumarill,Azumarill,Wasser,Fee,Johto,II,2,,marill,100,50,80,60,80,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png,https://archives.bulbagarden.net/media/upload/2/22/0184Azumarill.png
185,Mogelbaum,Sudowoodo,Gestein,,Johto,II,1,,bonsly,70,100,115,30,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/185.png,https://archives.bulbagarden.net/media/upload/2/2f/0185Sudowoodo.png
186,Quaxo,Politoed,Wasser,,Johto,II,2,,poliwhirl,90,75,75,90,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png,https://archives.bulbagarden.net/media/upload/9/9b/0186Politoed.png
187,Hoppspross,Hoppip,Pflanze,Flug,Johto,II,0,,,35,35,40,35,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/187.png,https://archives.bulbagarden.net/media/upload/c/c9/0187Hoppip.png
188,Hubelupf,Skiploom,Pflanze,Flug,Johto,II,1,,hoppip,55,45,50,45,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/188.png,https://archives.bulbagarden.net/media/upload/f/f2/0188Skiploom.png
189,Papungha,Jumpluff,Pflanze,Flug,Johto,II,2,,skiploom,75,55,70,55,95,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/189.png,https://archives.bulbagarden.net/media/upload/6/64/0189Jumpluff.png
190,Griffel,Aipom,Normal,,Johto,II,0,,,55,70,55,40,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/190.png,https://archives.bulbagarden.net/media/upload/0/0d/0190Aipom.png
191,Sonnkern,Sunkern,Pflanze,,Johto,II,0,,,30,30,30,30,30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/191.png,https://archives.bulbagarden.net/media/upload/6/67/0191Sunkern.png
192,Sonnflora,Sunflora,Pflanze,,Johto,II,1,,sunkern,75,75,55,105,85,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/192.png,https://archives.bulbagarden.net/media/upload/0/0d/0192Sunflora.png
